DHID,FROM,TO,X,Y,Z,RASH,RFSI,ASEAM
A17,0,0.2,607.8,2700,1988.5,,,
A17,0.2,10.8,607.8,2700,1983.1,,,3L1
A17,10.8,12,607.8,2700,1977.2,,,
A20,0,0.1,609.9,1877.1,2031.95,,,
A20,0.1,11.4,609.9,1877.1,2026.25,16.1,0.1,3L1
A20,11.4,11.54,609.9,1877.1,2020.53,,,
A22,0,0.1,626.9,2965.4,1947.95,,,
A22,0.1,12.8,626.9,2965.4,1941.55,16.1,0.1,3L1
A22,12.8,12.9,626.9,2965.4,1935.15,,,
D301,0,31.3,251.67,2399.2,2180.79,,,
D301,31.3,32.7,243.28,2398.46,2166.77,,,6L
D301,32.7,92.7,227.53,2397.09,2140.46,,,
D301,92.7,94.6,211.65,2395.7,2113.93,22.1,6,7R
D301,94.6,96,210.8,2395.62,2112.51,,,7R
D301,96,101.1,209.14,2395.48,2109.73,22.1,6,7R
D301,101.1,106.2,206.52,2395.25,2105.35,,,
D301,106.2,108.2,204.7,2395.09,2102.31,31.1,3,7L
D301,108.2,122,200.64,2394.73,2095.54,,,
D301,122,124,196.59,2394.38,2088.77,14.5,6.5,8M
D301,124,165.1,185.53,2393.41,2070.3,,,
D301,165.1,186.5,169.5,2392.01,2043.51,10.7,2,8R
D301,186.5,199,160.8,2391.25,2028.98,,,
D302,0,10,958.7,1921.5,1916,,,
D302,10,12,958.7,1921.5,1910,6.8,0.1,K4
D302,12,44.2,958.7,1921.5,1892.9,,,
D302,44.2,45.3,958.7,1921.5,1876.25,11.5,7.5,3UB
D302,45.3,46.5,958.7,1921.5,1875.1,,,3UB
D302,46.5,47.5,958.7,1921.5,1874,11.5,7.5,3UB
D302,47.5,52.2,958.7,1921.5,1871.15,,,
D302,52.2,55.3,958.7,1921.5,1867.25,14.2,5,3UA
D302,55.3,95,958.7,1921.5,1845.85,,,
D302,95,98,958.7,1921.5,1824.5,,,3L2
D302,98,102.2,958.7,1921.5,1820.9,13.1,7.5,3L1
D302,102.2,116.6,958.7,1921.5,1811.6,,,
D302,116.6,121.1,958.7,1921.5,1802.15,16.3,7.5,3LA
