Sample Site Name,From,To,Mid Depth X,Mid Depth Y,Mid Depth Z,RASH,RFSI,TTHICK,ASEAM
A17,0.20,10.80,607.80,2700.00,1983.10,,,5.81,3L1
A20,0.10,11.40,609.90,1877.10,2026.25,16.1,0.1,6.76,3L1
A22,0.10,12.80,626.90,2965.40,1941.55,16.1,0.1,12.66,3L1
D301,92.70,101.10,209.98,2395.55,2111.14,22.1,6.0,6.08,7R
D301,165.10,186.50,169.50,2392.01,2043.51,10.7,2.0,15.74,8R
D302,10.00,12.00,958.70,1921.50,1910.00,6.8,0.1,1.83,K4
D302,44.20,47.50,958.70,1921.50,1875.15,11.5,7.5,,3UB
D302,98.00,102.20,958.70,1921.50,1820.90,13.1,7.5,3.98,3L1
D302,116.60,121.10,958.70,1921.50,1802.15,16.3,7.5,4.35,3LA
D401,33.50,35.00,848.00,2265.10,1884.55,,,,3UB
D401,75.40,81.10,848.00,2265.10,1840.55,33.4,3.0,4.77,3L1
D401,102.40,104.40,848.00,2265.10,1815.40,36.6,1.5,,3LA
D401,120.80,130.00,848.00,2265.10,1793.40,13.3,7.5,8.50,4JG
D407,72.40,78.90,302.31,1960.89,2059.44,28.9,3.0,6.05,7R
D407,159.00,172.70,269.30,1979.95,1977.69,12.1,3.0,13.38,8R
D407,258.10,300.80,227.72,2003.95,1874.73,19.8,3.8,,10A
D410,55.80,62.50,1008.80,2926.50,1776.35,7.1,8.0,6.24,K4
D410,76.80,77.50,1008.80,2926.50,1758.35,,,,3UB
D410,125.20,129.40,1008.80,2926.50,1708.20,22.8,6.5,4.07,3L1
D410,146.20,147.50,1008.80,2926.50,1688.65,,,,3LA
D410,187.10,204.80,1008.80,2926.50,1639.55,6.7,8.0,17.68,4JG
D413,53.00,54.50,890.70,2552.30,1832.45,27.9,3.0,,3UB
D413,108.50,112.50,890.70,2552.30,1775.70,26.9,5.5,3.54,3L1
D413,145.80,159.60,890.70,2552.30,1733.50,8.8,7.5,11.78,4JG
D414,51.00,52.80,1163.10,2335.00,1771.80,,,,3UB
D414,97.00,100.00,1163.10,2335.00,1725.20,24.0,6.0,2.96,3L1
